Location of Property,Description,Net Income
600 NE Adwick Drive,600 NE Adwick Drive,5411
621 NE Garswood drive,621 NE Garswood,-6481
11221 Autumn Ash drive,11221 Autumn ash,12825
Rose Petal,Rose Petal,-120
1193 N Station place,1193 NW Station place,3852
732 NE Adwick drive,732 NE Adwick,2346
17022 NW Tucson str,17022 NW Tucson street,-2432
918 W South Street,918 W South Leander,4630
401 Independence Ave,401 Independence Ave,6611
161 Geronimo CV,161 Geronimo,-5752
5045 W Belle Circle,5045 Belle Circle,-5186
Total,Total,15704
